Designator,Mid X,Mid Y,Rotation,Layer
D1,106.0,-81.19,90.0,top
D10,160.0,-82.19,90.0,top
D11,178.0,-86.44,90.0,top
D12,187.69,-94.5,0.0,top
D13,106.0,-115.19,90.0,top
D14,124.0,-115.19,90.0,top
D15,142.0,-103.44,90.0,top
D16,160.0,-99.19,90.0,top
D17,178.0,-103.44,90.0,top
D18,178.0,-111.5,0.0,top
D19,151.0,-120.44,270.0,top
D2,124.0,-81.19,90.0,top
D20,169.0,-120.44,270.0,top
D21,187.0,-120.44,270.0,top
D22,189.19,-111.5,0.0,top
D3,142.0,-69.44,90.0,top
D4,160.0,-68.56,90.0,top
D5,178.0,-69.44,90.0,top
D6,187.69,-77.5,0.0,top
D7,106.0,-98.19,90.0,top
D8,124.0,-98.19,90.0,top
D9,142.0,-86.44,90.0,top
S1,97.0,-81.86035,0.0,top
S10,151.0,-82.86035,0.0,top
S11,169.0,-87.11035,0.0,top
S12,187.0,-87.11035,0.0,top
S13,97.0,-115.86035,0.0,top
S14,115.0,-115.86035,0.0,top
S15,133.0,-104.11035,0.0,top
S16,151.0,-99.86035,0.0,top
S17,169.0,-104.11035,0.0,top
S18,187.0,-104.11035,0.0,top
S19,142.0,-121.11035,0.0,top
S2,115.0,-81.86035,0.0,top
S20,160.0,-121.11035,0.0,top
S21,178.0,-121.11035,0.0,top
S22,196.0,-121.11035,0.0,top
S3,133.0,-70.11035,0.0,top
S4,151.0,-65.86035,0.0,top
S5,169.0,-70.11035,0.0,top
S6,187.0,-70.11035,0.0,top
S7,97.0,-98.86035,0.0,top
S8,115.0,-98.86035,0.0,top
S9,133.0,-87.11035,0.0,top
